turn,n_count,episode_id,decay_score,topic_label,n_total_in_store
14,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993408310140603,1a9bdae5-9396-4cf9-a969-61d73ee8616f,13
14,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9993408310140603,c37f333d-63e0-417f-b8d5-d251477f7eea,13
14,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993408309863009,a7985c10-d97f-45bb-b3da-11433108ba43,13
14,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993408309863009,ce38e723-859f-41d4-a5a4-2d157af73574,13
14,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9993408309585414,ce38e723-859f-41d4-a5a4-2d157af73574,13
14,10,d7037f22-c995-47fa-9c8e-31224571f3c9,1.0,24d4a767-5382-4591-9ae2-c780fa6b5525,13
15,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993416976650124,ce38e723-859f-41d4-a5a4-2d157af73574,14
15,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993416974429364,ce38e723-859f-41d4-a5a4-2d157af73574,14
15,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.999341697415177,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,14
15,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993416973874175,1a9bdae5-9396-4cf9-a969-61d73ee8616f,14
15,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9993416973596579,c37f333d-63e0-417f-b8d5-d251477f7eea,14
15,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993416973596579,a7985c10-d97f-45bb-b3da-11433108ba43,14
15,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993416973318985,ce38e723-859f-41d4-a5a4-2d157af73574,14
15,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9993416973318985,ce38e723-859f-41d4-a5a4-2d157af73574,14
15,10,01a24054-d17b-4c11-8486-70e57d4c36fe,1.0,ce38e723-859f-41d4-a5a4-2d157af73574,14
16,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993409449944406,ce38e723-859f-41d4-a5a4-2d157af73574,15
16,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993409447723648,ce38e723-859f-41d4-a5a4-2d157af73574,15
16,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9993409447446053,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,15
16,10,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.9993409447168459,353f67e4-6ffa-4386-854f-de3da3af850a,15
16,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993409447168459,1a9bdae5-9396-4cf9-a969-61d73ee8616f,15
16,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9993409446890864,c37f333d-63e0-417f-b8d5-d251477f7eea,15
16,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993409446890864,a7985c10-d97f-45bb-b3da-11433108ba43,15
16,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993409446613268,ce38e723-859f-41d4-a5a4-2d157af73574,15
16,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9993409446613268,ce38e723-859f-41d4-a5a4-2d157af73574,15
16,10,a02dbf34-2efb-446d-bb4a-23ba278caa7a,1.0,9f73d9d8-c038-4c8a-85ec-51440489a978,15
17,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993414534370351,ce38e723-859f-41d4-a5a4-2d157af73574,16
17,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993414531871998,ce38e723-859f-41d4-a5a4-2d157af73574,16
17,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9993414531594402,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,16
17,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993414531316808,1a9bdae5-9396-4cf9-a969-61d73ee8616f,16
17,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9993414531316808,c37f333d-63e0-417f-b8d5-d251477f7eea,16
17,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993414531039213,a7985c10-d97f-45bb-b3da-11433108ba43,16
17,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993414531039213,ce38e723-859f-41d4-a5a4-2d157af73574,16
